state_abbreviation,county_name,study_year,center_type,development_stage,median_weekly_childcare_cost
VA,Accomack County,2009,Family,Infant,77.5
VA,Accomack County,2009,Family,Toddler,70
VA,Accomack County,2009,Family,Preschool,70
VA,Accomack County,2009,Center,Infant,149
VA,Accomack County,2009,Center,Toddler,116
VA,Accomack County,2009,Center,Preschool,116
VA,Accomack County,2010,Family,Infant,85
VA,Accomack County,2010,Family,Toddler,75
VA,Accomack County,2010,Family,Preschool,75
VA,Accomack County,2010,Center,Infant,148
VA,Accomack County,2010,Center,Toddler,110
VA,Accomack County,2010,Center,Preschool,110
VA,Accomack County,2011,Family,Infant,92.5
VA,Accomack County,2011,Family,Toddler,80
VA,Accomack County,2011,Family,Preschool,80
VA,Accomack County,2011,Center,Infant,147
VA,Accomack County,2011,Center,Toddler,104
VA,Accomack County,2011,Center,Preschool,104
VA,Accomack County,2012,Family,Infant,100
VA,Accomack County,2012,Family,Toddler,85
VA,Accomack County,2012,Family,Preschool,85
VA,Accomack County,2012,Center,Infant,146
VA,Accomack County,2012,Center,Toddler,98
VA,Accomack County,2012,Center,Preschool,98
VA,Accomack County,2013,Family,Infant,116.67
VA,Accomack County,2013,Family,Toddler,90
VA,Accomack County,2013,Family,Preschool,90
VA,Accomack County,2013,Center,Infant,149
VA,Accomack County,2013,Center,Toddler,108.67
VA,Accomack County,2013,Center,Preschool,108.67
VA,Accomack County,2014,Family,Infant,133.33
VA,Accomack County,2014,Family,Toddler,95
VA,Accomack County,2014,Family,Preschool,95
VA,Accomack County,2014,Center,Infant,152
VA,Accomack County,2014,Center,Toddler,119.33
VA,Accomack County,2014,Center,Preschool,119.33
VA,Accomack County,2015,Family,Infant,150
VA,Accomack County,2015,Family,Toddler,100
VA,Accomack County,2015,Family,Preschool,100
VA,Accomack County,2015,Center,Infant,155
VA,Accomack County,2015,Center,Toddler,130
VA,Accomack County,2015,Center,Preschool,130
VA,Accomack County,2016,Family,Infant,133.33
VA,Accomack County,2016,Family,Toddler,95
VA,Accomack County,2016,Family,Preschool,95
VA,Accomack County,2016,Center,Infant,158.33
VA,Accomack County,2016,Center,Toddler,125
VA,Accomack County,2016,Center,Preschool,125
VA,Accomack County,2017,Family,Infant,116.67
VA,Accomack County,2017,Family,Toddler,90
VA,Accomack County,2017,Family,Preschool,90
VA,Accomack County,2017,Center,Infant,161.67
VA,Accomack County,2017,Center,Toddler,120
VA,Accomack County,2017,Center,Preschool,120
VA,Accomack County,2018,Family,Infant,100
VA,Accomack County,2018,Family,Toddler,85
VA,Accomack County,2018,Family,Preschool,85
VA,Accomack County,2018,Center,Infant,165
VA,Accomack County,2018,Center,Toddler,115
VA,Accomack County,2018,Center,Preschool,115
VA,Albemarle County,2009,Family,Infant,140
VA,Albemarle County,2009,Family,Toddler,97.5
VA,Albemarle County,2009,Family,Preschool,97.5
VA,Albemarle County,2009,Center,Infant,210.5
VA,Albemarle County,2009,Center,Toddler,172
VA,Albemarle County,2009,Center,Preschool,172
VA,Albemarle County,2010,Family,Infant,135
VA,Albemarle County,2010,Family,Toddler,100
VA,Albemarle County,2010,Family,Preschool,100
VA,Albemarle County,2010,Center,Infant,223
VA,Albemarle County,2010,Center,Toddler,184
VA,Albemarle County,2010,Center,Preschool,184
VA,Albemarle County,2011,Family,Infant,130
VA,Albemarle County,2011,Family,Toddler,102.5
VA,Albemarle County,2011,Family,Preschool,102.5
VA,Albemarle County,2011,Center,Infant,235.5
VA,Albemarle County,2011,Center,Toddler,196
VA,Albemarle County,2011,Center,Preschool,196
VA,Albemarle County,2012,Family,Infant,125
VA,Albemarle County,2012,Family,Toddler,105
VA,Albemarle County,2012,Family,Preschool,105
VA,Albemarle County,2012,Center,Infant,248
VA,Albemarle County,2012,Center,Toddler,208
VA,Albemarle County,2012,Center,Preschool,208
VA,Albemarle County,2013,Family,Infant,133.33
VA,Albemarle County,2013,Family,Toddler,120
VA,Albemarle County,2013,Family,Preschool,120
VA,Albemarle County,2013,Center,Infant,252
VA,Albemarle County,2013,Center,Toddler,208.67
VA,Albemarle County,2013,Center,Preschool,208.67
VA,Albemarle County,2014,Family,Infant,141.67
VA,Albemarle County,2014,Family,Toddler,135
VA,Albemarle County,2014,Family,Preschool,135
VA,Albemarle County,2014,Center,Infant,256
VA,Albemarle County,2014,Center,Toddler,209.33
VA,Albemarle County,2014,Center,Preschool,209.33
VA,Albemarle County,2015,Family,Infant,150
