state_abbreviation,county_name,study_year,center_type,development_stage,median_weekly_childcare_cost
VA,Albemarle County,2015,Family,Toddler,150
VA,Albemarle County,2015,Family,Preschool,150
VA,Albemarle County,2015,Center,Infant,260
VA,Albemarle County,2015,Center,Toddler,210
VA,Albemarle County,2015,Center,Preschool,210
VA,Albemarle County,2016,Family,Infant,148.33
VA,Albemarle County,2016,Family,Toddler,143.33
VA,Albemarle County,2016,Family,Preschool,143.33
VA,Albemarle County,2016,Center,Infant,260
VA,Albemarle County,2016,Center,Toddler,211.67
VA,Albemarle County,2016,Center,Preschool,211.67
VA,Albemarle County,2017,Family,Infant,146.67
VA,Albemarle County,2017,Family,Toddler,136.67
VA,Albemarle County,2017,Family,Preschool,136.67
VA,Albemarle County,2017,Center,Infant,260
VA,Albemarle County,2017,Center,Toddler,213.33
VA,Albemarle County,2017,Center,Preschool,213.33
VA,Albemarle County,2018,Family,Infant,145
VA,Albemarle County,2018,Family,Toddler,130
VA,Albemarle County,2018,Family,Preschool,130
VA,Albemarle County,2018,Center,Infant,260
VA,Albemarle County,2018,Center,Toddler,215
VA,Albemarle County,2018,Center,Preschool,215
VA,Alleghany County,2009,Family,Infant,72
VA,Alleghany County,2009,Family,Toddler,60
VA,Alleghany County,2009,Family,Preschool,60
VA,Alleghany County,2009,Center,Infant,108
VA,Alleghany County,2009,Center,Toddler,82
VA,Alleghany County,2009,Center,Preschool,82
VA,Alleghany County,2010,Family,Infant,78
VA,Alleghany County,2010,Family,Toddler,65
VA,Alleghany County,2010,Family,Preschool,65
VA,Alleghany County,2010,Center,Infant,112
VA,Alleghany County,2010,Center,Toddler,88
VA,Alleghany County,2010,Center,Preschool,88
VA,Alleghany County,2011,Family,Infant,84
VA,Alleghany County,2011,Family,Toddler,70
VA,Alleghany County,2011,Family,Preschool,70
VA,Alleghany County,2011,Center,Infant,116
VA,Alleghany County,2011,Center,Toddler,94
VA,Alleghany County,2011,Center,Preschool,94
VA,Alleghany County,2012,Family,Infant,90
VA,Alleghany County,2012,Family,Toddler,75
VA,Alleghany County,2012,Family,Preschool,75
VA,Alleghany County,2012,Center,Infant,120
VA,Alleghany County,2012,Center,Toddler,100
VA,Alleghany County,2012,Center,Preschool,100
VA,Alleghany County,2013,Family,Infant,93.33
VA,Alleghany County,2013,Family,Toddler,78.33
VA,Alleghany County,2013,Family,Preschool,78.33
VA,Alleghany County,2013,Center,Infant,125
VA,Alleghany County,2013,Center,Toddler,100
VA,Alleghany County,2013,Center,Preschool,100
VA,Alleghany County,2014,Family,Infant,96.67
VA,Alleghany County,2014,Family,Toddler,81.67
VA,Alleghany County,2014,Family,Preschool,81.67
VA,Alleghany County,2014,Center,Infant,130
VA,Alleghany County,2014,Center,Toddler,100
VA,Alleghany County,2014,Center,Preschool,100
VA,Alleghany County,2015,Family,Infant,100
VA,Alleghany County,2015,Family,Toddler,85
VA,Alleghany County,2015,Family,Preschool,85
VA,Alleghany County,2015,Center,Infant,135
VA,Alleghany County,2015,Center,Toddler,100
VA,Alleghany County,2015,Center,Preschool,100
VA,Alleghany County,2016,Family,Infant,100
VA,Alleghany County,2016,Family,Toddler,83.33
VA,Alleghany County,2016,Family,Preschool,83.33
VA,Alleghany County,2016,Center,Infant,136.67
VA,Alleghany County,2016,Center,Toddler,105
VA,Alleghany County,2016,Center,Preschool,105
VA,Alleghany County,2017,Family,Infant,100
VA,Alleghany County,2017,Family,Toddler,81.67
VA,Alleghany County,2017,Family,Preschool,81.67
VA,Alleghany County,2017,Center,Infant,138.33
VA,Alleghany County,2017,Center,Toddler,110
VA,Alleghany County,2017,Center,Preschool,110
VA,Alleghany County,2018,Family,Infant,100
VA,Alleghany County,2018,Family,Toddler,80
VA,Alleghany County,2018,Family,Preschool,80
VA,Alleghany County,2018,Center,Infant,140
VA,Alleghany County,2018,Center,Toddler,115
VA,Alleghany County,2018,Center,Preschool,115
VA,Amelia County,2009,Family,Infant,89.5
VA,Amelia County,2009,Family,Toddler,74
VA,Amelia County,2009,Family,Preschool,74
VA,Amelia County,2009,Center,Infant,106
VA,Amelia County,2009,Center,Toddler,87
VA,Amelia County,2009,Center,Preschool,87
VA,Amelia County,2010,Family,Infant,93
VA,Amelia County,2010,Family,Toddler,76
VA,Amelia County,2010,Family,Preschool,76
VA,Amelia County,2010,Center,Infant,110
VA,Amelia County,2010,Center,Toddler,90
VA,Amelia County,2010,Center,Preschool,90
VA,Amelia County,2011,Family,Infant,96.5
VA,Amelia County,2011,Family,Toddler,78
VA,Amelia County,2011,Family,Preschool,78
VA,Amelia County,2011,Center,Infant,114
VA,Amelia County,2011,Center,Toddler,93
VA,Amelia County,2011,Center,Preschool,93
VA,Amelia County,2012,Family,Infant,100
VA,Amelia County,2012,Family,Toddler,80
VA,Amelia County,2012,Family,Preschool,80
VA,Amelia County,2012,Center,Infant,118
VA,Amelia County,2012,Center,Toddler,96
VA,Amelia County,2012,Center,Preschool,96
VA,Amelia County,2013,Family,Infant,100
VA,Amelia County,2013,Family,Toddler,81.67
VA,Amelia County,2013,Family,Preschool,81.67
VA,Amelia County,2013,Center,Infant,118.67
VA,Amelia County,2013,Center,Toddler,97.33
VA,Amelia County,2013,Center,Preschool,97.33
VA,Amelia County,2014,Family,Infant,100
VA,Amelia County,2014,Family,Toddler,83.33
VA,Amelia County,2014,Family,Preschool,83.33
VA,Amelia County,2014,Center,Infant,119.33
VA,Amelia County,2014,Center,Toddler,98.67
VA,Amelia County,2014,Center,Preschool,98.67
VA,Amelia County,2015,Family,Infant,100
VA,Amelia County,2015,Family,Toddler,85
VA,Amelia County,2015,Family,Preschool,85
VA,Amelia County,2015,Center,Infant,120
VA,Amelia County,2015,Center,Toddler,100
VA,Amelia County,2015,Center,Preschool,100
VA,Amelia County,2016,Family,Infant,108.33
VA,Amelia County,2016,Family,Toddler,85
VA,Amelia County,2016,Family,Preschool,85
VA,Amelia County,2016,Center,Infant,123.33
VA,Amelia County,2016,Center,Toddler,100
VA,Amelia County,2016,Center,Preschool,100
VA,Amelia County,2017,Family,Infant,116.67
VA,Amelia County,2017,Family,Toddler,85
VA,Amelia County,2017,Family,Preschool,85
VA,Amelia County,2017,Center,Infant,126.67
VA,Amelia County,2017,Center,Toddler,100
VA,Amelia County,2017,Center,Preschool,100
VA,Amelia County,2018,Family,Infant,125
VA,Amelia County,2018,Family,Toddler,85
VA,Amelia County,2018,Family,Preschool,85
VA,Amelia County,2018,Center,Infant,130
VA,Amelia County,2018,Center,Toddler,100
VA,Amelia County,2018,Center,Preschool,100
VA,Amherst County,2009,Family,Infant,97
VA,Amherst County,2009,Family,Toddler,76.5
VA,Amherst County,2009,Family,Preschool,76.5
VA,Amherst County,2009,Center,Infant,105
VA,Amherst County,2009,Center,Toddler,81.5
VA,Amherst County,2009,Center,Preschool,81.5
VA,Amherst County,2010,Family,Infant,98
VA,Amherst County,2010,Family,Toddler,77
VA,Amherst County,2010,Family,Preschool,77
VA,Amherst County,2010,Center,Infant,110
VA,Amherst County,2010,Center,Toddler,85
VA,Amherst County,2010,Center,Preschool,85
VA,Amherst County,2011,Family,Infant,99
VA,Amherst County,2011,Family,Toddler,77.5
VA,Amherst County,2011,Family,Preschool,77.5
VA,Amherst County,2011,Center,Infant,115
VA,Amherst County,2011,Center,Toddler,88.5
VA,Amherst County,2011,Center,Preschool,88.5
VA,Amherst County,2012,Family,Infant,100
VA,Amherst County,2012,Family,Toddler,78
VA,Amherst County,2012,Family,Preschool,78
VA,Amherst County,2012,Center,Infant,120
VA,Amherst County,2012,Center,Toddler,92
VA,Amherst County,2012,Center,Preschool,92
VA,Amherst County,2013,Family,Infant,100
VA,Amherst County,2013,Family,Toddler,78.67
VA,Amherst County,2013,Family,Preschool,78.67
VA,Amherst County,2013,Center,Infant,120
VA,Amherst County,2013,Center,Toddler,93
VA,Amherst County,2013,Center,Preschool,93
VA,Amherst County,2014,Family,Infant,100
VA,Amherst County,2014,Family,Toddler,79.33
VA,Amherst County,2014,Family,Preschool,79.33
VA,Amherst County,2014,Center,Infant,120
VA,Amherst County,2014,Center,Toddler,94
VA,Amherst County,2014,Center,Preschool,94
VA,Amherst County,2015,Family,Infant,100
VA,Amherst County,2015,Family,Toddler,80
VA,Amherst County,2015,Family,Preschool,80
VA,Amherst County,2015,Center,Infant,120
VA,Amherst County,2015,Center,Toddler,95
VA,Amherst County,2015,Center,Preschool,95
VA,Amherst County,2016,Family,Infant,108.33
VA,Amherst County,2016,Family,Toddler,81.67
VA,Amherst County,2016,Family,Preschool,81.67
VA,Amherst County,2016,Center,Infant,123.33
VA,Amherst County,2016,Center,Toddler,96.67
VA,Amherst County,2016,Center,Preschool,96.67
VA,Amherst County,2017,Family,Infant,116.67
VA,Amherst County,2017,Family,Toddler,83.33
VA,Amherst County,2017,Family,Preschool,83.33
VA,Amherst County,2017,Center,Infant,126.67
VA,Amherst County,2017,Center,Toddler,98.33
VA,Amherst County,2017,Center,Preschool,98.33
VA,Amherst County,2018,Family,Infant,125
VA,Amherst County,2018,Family,Toddler,85
VA,Amherst County,2018,Family,Preschool,85
VA,Amherst County,2018,Center,Infant,130
VA,Amherst County,2018,Center,Toddler,100
VA,Amherst County,2018,Center,Preschool,100
VA,Appomattox County,2009,Family,Infant,89.5
VA,Appomattox County,2009,Family,Toddler,74
VA,Appomattox County,2009,Family,Preschool,74
VA,Appomattox County,2009,Center,Infant,106
VA,Appomattox County,2009,Center,Toddler,85.5
VA,Appomattox County,2009,Center,Preschool,85.5
VA,Appomattox County,2010,Family,Infant,93
VA,Appomattox County,2010,Family,Toddler,76
VA,Appomattox County,2010,Family,Preschool,76
VA,Appomattox County,2010,Center,Infant,110
VA,Appomattox County,2010,Center,Toddler,88
VA,Appomattox County,2010,Center,Preschool,88
VA,Appomattox County,2011,Family,Infant,96.5
VA,Appomattox County,2011,Family,Toddler,78
VA,Appomattox County,2011,Family,Preschool,78
VA,Appomattox County,2011,Center,Infant,114
VA,Appomattox County,2011,Center,Toddler,90.5
VA,Appomattox County,2011,Center,Preschool,90.5
VA,Appomattox County,2012,Family,Infant,100
VA,Appomattox County,2012,Family,Toddler,80
VA,Appomattox County,2012,Family,Preschool,80
VA,Appomattox County,2012,Center,Infant,118
VA,Appomattox County,2012,Center,Toddler,93
VA,Appomattox County,2012,Center,Preschool,93
VA,Appomattox County,2013,Family,Infant,100
VA,Appomattox County,2013,Family,Toddler,80
VA,Appomattox County,2013,Family,Preschool,80
VA,Appomattox County,2013,Center,Infant,120.33
VA,Appomattox County,2013,Center,Toddler,95.33
VA,Appomattox County,2013,Center,Preschool,95.33
VA,Appomattox County,2014,Family,Infant,100
VA,Appomattox County,2014,Family,Toddler,80
VA,Appomattox County,2014,Family,Preschool,80
VA,Appomattox County,2014,Center,Infant,122.67
VA,Appomattox County,2014,Center,Toddler,97.67
VA,Appomattox County,2014,Center,Preschool,97.67
VA,Appomattox County,2015,Family,Infant,100
VA,Appomattox County,2015,Family,Toddler,80
VA,Appomattox County,2015,Family,Preschool,80
VA,Appomattox County,2015,Center,Infant,125
VA,Appomattox County,2015,Center,Toddler,100
VA,Appomattox County,2015,Center,Preschool,100
VA,Appomattox County,2016,Family,Infant,108.33
VA,Appomattox County,2016,Family,Toddler,81.67
VA,Appomattox County,2016,Family,Preschool,81.67
VA,Appomattox County,2016,Center,Infant,126.67
VA,Appomattox County,2016,Center,Toddler,101.67
VA,Appomattox County,2016,Center,Preschool,101.67
VA,Appomattox County,2017,Family,Infant,116.67
VA,Appomattox County,2017,Family,Toddler,83.33
VA,Appomattox County,2017,Family,Preschool,83.33
VA,Appomattox County,2017,Center,Infant,128.33
VA,Appomattox County,2017,Center,Toddler,103.33
VA,Appomattox County,2017,Center,Preschool,103.33
VA,Appomattox County,2018,Family,Infant,125
VA,Appomattox County,2018,Family,Toddler,85
VA,Appomattox County,2018,Family,Preschool,85
VA,Appomattox County,2018,Center,Infant,130
VA,Appomattox County,2018,Center,Toddler,105
VA,Appomattox County,2018,Center,Preschool,105
VA,Arlington County,2009,Family,Infant,235
VA,Arlington County,2009,Family,Toddler,200
VA,Arlington County,2009,Family,Preschool,200
VA,Arlington County,2009,Center,Infant,323.5
VA,Arlington County,2009,Center,Toddler,264
VA,Arlington County,2009,Center,Preschool,264
VA,Arlington County,2010,Family,Infant,240
VA,Arlington County,2010,Family,Toddler,200
VA,Arlington County,2010,Family,Preschool,200
VA,Arlington County,2010,Center,Infant,343
VA,Arlington County,2010,Center,Toddler,281
VA,Arlington County,2010,Center,Preschool,281
VA,Arlington County,2011,Family,Infant,245
VA,Arlington County,2011,Family,Toddler,200
VA,Arlington County,2011,Family,Preschool,200
VA,Arlington County,2011,Center,Infant,362.5
VA,Arlington County,2011,Center,Toddler,298
VA,Arlington County,2011,Center,Preschool,298
VA,Arlington County,2012,Family,Infant,250
VA,Arlington County,2012,Family,Toddler,200
VA,Arlington County,2012,Family,Preschool,200
VA,Arlington County,2012,Center,Infant,382
VA,Arlington County,2012,Center,Toddler,315
VA,Arlington County,2012,Center,Preschool,315
VA,Arlington County,2013,Family,Infant,263.33
VA,Arlington County,2013,Family,Toddler,226.67
VA,Arlington County,2013,Family,Preschool,226.67
VA,Arlington County,2013,Center,Infant,389.67
VA,Arlington County,2013,Center,Toddler,325
VA,Arlington County,2013,Center,Preschool,325
VA,Arlington County,2014,Family,Infant,276.67
VA,Arlington County,2014,Family,Toddler,253.33
VA,Arlington County,2014,Family,Preschool,253.33
VA,Arlington County,2014,Center,Infant,397.33
VA,Arlington County,2014,Center,Toddler,335
VA,Arlington County,2014,Center,Preschool,335
VA,Arlington County,2015,Family,Infant,290
VA,Arlington County,2015,Family,Toddler,280
VA,Arlington County,2015,Family,Preschool,280
VA,Arlington County,2015,Center,Infant,405
VA,Arlington County,2015,Center,Toddler,345
VA,Arlington County,2015,Center,Preschool,345
VA,Arlington County,2016,Family,Infant,301.67
VA,Arlington County,2016,Family,Toddler,281.67
VA,Arlington County,2016,Family,Preschool,281.67
VA,Arlington County,2016,Center,Infant,426.67
VA,Arlington County,2016,Center,Toddler,358.33
VA,Arlington County,2016,Center,Preschool,358.33
VA,Arlington County,2017,Family,Infant,313.33
VA,Arlington County,2017,Family,Toddler,283.33
VA,Arlington County,2017,Family,Preschool,283.33
VA,Arlington County,2017,Center,Infant,448.33
VA,Arlington County,2017,Center,Toddler,371.67
VA,Arlington County,2017,Center,Preschool,371.67
VA,Arlington County,2018,Family,Infant,325
VA,Arlington County,2018,Family,Toddler,285
VA,Arlington County,2018,Family,Preschool,285
VA,Arlington County,2018,Center,Infant,470
VA,Arlington County,2018,Center,Toddler,385
VA,Arlington County,2018,Center,Preschool,385
VA,Augusta County,2009,Family,Infant,125
VA,Augusta County,2009,Family,Toddler,127.5
VA,Augusta County,2009,Family,Preschool,127.5
VA,Augusta County,2009,Center,Infant,135
VA,Augusta County,2009,Center,Toddler,117.5
VA,Augusta County,2009,Center,Preschool,117.5
VA,Augusta County,2010,Family,Infant,125
VA,Augusta County,2010,Family,Toddler,120
VA,Augusta County,2010,Family,Preschool,120
VA,Augusta County,2010,Center,Infant,140
VA,Augusta County,2010,Center,Toddler,120
VA,Augusta County,2010,Center,Preschool,120
VA,Augusta County,2011,Family,Infant,125
VA,Augusta County,2011,Family,Toddler,112.5
VA,Augusta County,2011,Family,Preschool,112.5
VA,Augusta County,2011,Center,Infant,145
VA,Augusta County,2011,Center,Toddler,122.5
VA,Augusta County,2011,Center,Preschool,122.5
VA,Augusta County,2012,Family,Infant,125
VA,Augusta County,2012,Family,Toddler,105
VA,Augusta County,2012,Family,Preschool,105
VA,Augusta County,2012,Center,Infant,150
VA,Augusta County,2012,Center,Toddler,125
VA,Augusta County,2012,Center,Preschool,125
VA,Augusta County,2013,Family,Infant,126.67
VA,Augusta County,2013,Family,Toddler,111.67
VA,Augusta County,2013,Family,Preschool,111.67
VA,Augusta County,2013,Center,Infant,155
VA,Augusta County,2013,Center,Toddler,126.67
VA,Augusta County,2013,Center,Preschool,126.67
VA,Augusta County,2014,Family,Infant,128.33
VA,Augusta County,2014,Family,Toddler,118.33
VA,Augusta County,2014,Family,Preschool,118.33
VA,Augusta County,2014,Center,Infant,160
VA,Augusta County,2014,Center,Toddler,128.33
VA,Augusta County,2014,Center,Preschool,128.33
VA,Augusta County,2015,Family,Infant,130
VA,Augusta County,2015,Family,Toddler,125
VA,Augusta County,2015,Family,Preschool,125
VA,Augusta County,2015,Center,Infant,165
VA,Augusta County,2015,Center,Toddler,130
VA,Augusta County,2015,Center,Preschool,130
VA,Augusta County,2016,Family,Infant,131.67
VA,Augusta County,2016,Family,Toddler,125
VA,Augusta County,2016,Family,Preschool,125
VA,Augusta County,2016,Center,Infant,166.67
VA,Augusta County,2016,Center,Toddler,135
VA,Augusta County,2016,Center,Preschool,135
VA,Augusta County,2017,Family,Infant,133.33
VA,Augusta County,2017,Family,Toddler,125
VA,Augusta County,2017,Family,Preschool,125
VA,Augusta County,2017,Center,Infant,168.33
VA,Augusta County,2017,Center,Toddler,140
VA,Augusta County,2017,Center,Preschool,140
VA,Augusta County,2018,Family,Infant,135
VA,Augusta County,2018,Family,Toddler,125
VA,Augusta County,2018,Family,Preschool,125
VA,Augusta County,2018,Center,Infant,170
VA,Augusta County,2018,Center,Toddler,145
VA,Augusta County,2018,Center,Preschool,145
VA,Bath County,2009,Family,Infant,110
VA,Bath County,2009,Family,Toddler,88
VA,Bath County,2009,Family,Preschool,88
VA,Bath County,2009,Center,Infant,140
VA,Bath County,2009,Center,Toddler,117.5
VA,Bath County,2009,Center,Preschool,117.5
VA,Bath County,2010,Family,Infant,110
VA,Bath County,2010,Family,Toddler,92
VA,Bath County,2010,Family,Preschool,92
VA,Bath County,2010,Center,Infant,140
VA,Bath County,2010,Center,Toddler,120
VA,Bath County,2010,Center,Preschool,120
VA,Bath County,2011,Family,Infant,110
VA,Bath County,2011,Family,Toddler,96
VA,Bath County,2011,Family,Preschool,96
VA,Bath County,2011,Center,Infant,140
VA,Bath County,2011,Center,Toddler,122.5
VA,Bath County,2011,Center,Preschool,122.5
VA,Bath County,2012,Family,Infant,110
VA,Bath County,2012,Family,Toddler,100
VA,Bath County,2012,Family,Preschool,100
VA,Bath County,2012,Center,Infant,140
VA,Bath County,2012,Center,Toddler,125
VA,Bath County,2012,Center,Preschool,125
VA,Bath County,2013,Family,Infant,120
VA,Bath County,2013,Family,Toddler,103.33
VA,Bath County,2013,Family,Preschool,103.33
VA,Bath County,2013,Center,Infant,145
VA,Bath County,2013,Center,Toddler,125
VA,Bath County,2013,Center,Preschool,125
VA,Bath County,2014,Family,Infant,130
VA,Bath County,2014,Family,Toddler,106.67
VA,Bath County,2014,Family,Preschool,106.67
VA,Bath County,2014,Center,Infant,150
VA,Bath County,2014,Center,Toddler,125
VA,Bath County,2014,Center,Preschool,125
VA,Bath County,2015,Family,Infant,140
VA,Bath County,2015,Family,Toddler,110
VA,Bath County,2015,Family,Preschool,110
VA,Bath County,2015,Center,Infant,155
VA,Bath County,2015,Center,Toddler,125
VA,Bath County,2015,Center,Preschool,125
VA,Bath County,2016,Family,Infant,135
VA,Bath County,2016,Family,Toddler,115
VA,Bath County,2016,Family,Preschool,115
VA,Bath County,2016,Center,Infant,155
VA,Bath County,2016,Center,Toddler,130
VA,Bath County,2016,Center,Preschool,130
VA,Bath County,2017,Family,Infant,130
VA,Bath County,2017,Family,Toddler,120
VA,Bath County,2017,Family,Preschool,120
VA,Bath County,2017,Center,Infant,155
VA,Bath County,2017,Center,Toddler,135
VA,Bath County,2017,Center,Preschool,135
VA,Bath County,2018,Family,Infant,125
VA,Bath County,2018,Family,Toddler,125
VA,Bath County,2018,Family,Preschool,125
VA,Bath County,2018,Center,Infant,155
VA,Bath County,2018,Center,Toddler,140
VA,Bath County,2018,Center,Preschool,140
VA,Bedford County,2009,Family,Infant,78.5
VA,Bedford County,2009,Family,Toddler,91
VA,Bedford County,2009,Family,Preschool,91
VA,Bedford County,2009,Center,Infant,112.5
VA,Bedford County,2009,Center,Toddler,98.5
VA,Bedford County,2009,Center,Preschool,98.5
VA,Bedford County,2010,Family,Infant,94
VA,Bedford County,2010,Family,Toddler,100
VA,Bedford County,2010,Family,Preschool,100
VA,Bedford County,2010,Center,Infant,125
VA,Bedford County,2010,Center,Toddler,99
VA,Bedford County,2010,Center,Preschool,99
VA,Bedford County,2011,Family,Infant,109.5
VA,Bedford County,2011,Family,Toddler,109
VA,Bedford County,2011,Family,Preschool,109
VA,Bedford County,2011,Center,Infant,137.5
VA,Bedford County,2011,Center,Toddler,99.5
VA,Bedford County,2011,Center,Preschool,99.5
VA,Bedford County,2012,Family,Infant,125
VA,Bedford County,2012,Family,Toddler,118
VA,Bedford County,2012,Family,Preschool,118
VA,Bedford County,2012,Center,Infant,150
VA,Bedford County,2012,Center,Toddler,100
VA,Bedford County,2012,Center,Preschool,100
VA,Bedford County,2013,Family,Infant,126.67
VA,Bedford County,2013,Family,Toddler,120.33
VA,Bedford County,2013,Family,Preschool,120.33
VA,Bedford County,2013,Center,Infant,158.33
VA,Bedford County,2013,Center,Toddler,100
VA,Bedford County,2013,Center,Preschool,100
VA,Bedford County,2014,Family,Infant,128.33
VA,Bedford County,2014,Family,Toddler,122.67
VA,Bedford County,2014,Family,Preschool,122.67
VA,Bedford County,2014,Center,Infant,166.67
VA,Bedford County,2014,Center,Toddler,100
VA,Bedford County,2014,Center,Preschool,100
VA,Bedford County,2015,Family,Infant,130
VA,Bedford County,2015,Family,Toddler,125
VA,Bedford County,2015,Family,Preschool,125
VA,Bedford County,2015,Center,Infant,175
VA,Bedford County,2015,Center,Toddler,100
VA,Bedford County,2015,Center,Preschool,100
VA,Bedford County,2016,Family,Infant,131.67
VA,Bedford County,2016,Family,Toddler,125
VA,Bedford County,2016,Family,Preschool,125
VA,Bedford County,2016,Center,Infant,180
VA,Bedford County,2016,Center,Toddler,105
VA,Bedford County,2016,Center,Preschool,105
VA,Bedford County,2017,Family,Infant,133.33
VA,Bedford County,2017,Family,Toddler,125
VA,Bedford County,2017,Family,Preschool,125
VA,Bedford County,2017,Center,Infant,185
VA,Bedford County,2017,Center,Toddler,110
VA,Bedford County,2017,Center,Preschool,110
VA,Bedford County,2018,Family,Infant,135
VA,Bedford County,2018,Family,Toddler,125
VA,Bedford County,2018,Family,Preschool,125
VA,Bedford County,2018,Center,Infant,190
VA,Bedford County,2018,Center,Toddler,115
VA,Bedford County,2018,Center,Preschool,115
VA,Bland County,2009,Family,Infant,75
VA,Bland County,2009,Family,Toddler,67.5
VA,Bland County,2009,Family,Preschool,67.5
VA,Bland County,2009,Center,Infant,104
VA,Bland County,2009,Center,Toddler,88.5
VA,Bland County,2009,Center,Preschool,88.5
VA,Bland County,2010,Family,Infant,75
VA,Bland County,2010,Family,Toddler,70
VA,Bland County,2010,Family,Preschool,70
VA,Bland County,2010,Center,Infant,103
VA,Bland County,2010,Center,Toddler,90
VA,Bland County,2010,Center,Preschool,90
VA,Bland County,2011,Family,Infant,75
VA,Bland County,2011,Family,Toddler,72.5
VA,Bland County,2011,Family,Preschool,72.5
VA,Bland County,2011,Center,Infant,102
VA,Bland County,2011,Center,Toddler,91.5
VA,Bland County,2011,Center,Preschool,91.5
VA,Bland County,2012,Family,Infant,75
VA,Bland County,2012,Family,Toddler,75
